,Reporter country,Partner country,FLOW,Value,PeopleTrust,FamilyTrust,NeighborTrust,PersonalTrust,OtherCountryTrust,GDP,Country Trade Percent of GDP,English Rate,Bilateral Trust,Net FDI,Net FDI % GDP,Portfolio equity,PartnerGDP,Distance,Capital City,Law Origins,Rel_sim
71,Belgium,United Kingdom,EXP,35202237357,,,,,,533382785676.06396,0.0659980754954082,0.71,0.504423987026,-48286,-9.2,7672,2.94188553746e+12,199.0,London,0.0,0.234478649454
72,Belgium,Estonia,EXP,421848953,,,,,,533382785676.06396,0.0007908934527485836,0.71,,-48286,-9.2,7672,25904874312.3,995.0,Tallinn,0.0,0.153115
73,Belgium,Estonia,EXP,421848953,,,,,,533382785676.06396,0.0007908934527485836,0.71,,-48286,-9.2,7672,25904874312.3,995.0,Tallinn,0.0,0.153115
74,Belgium,Slovenia,EXP,675102903,,,,,,533382785676.06396,0.0012657005833892922,0.71,,-48286,-9.2,7672,49416055609.2,571.0,Ljubljana,0.0,0.462191510365
75,Belgium,Slovenia,EXP,675102903,,,,,,533382785676.06396,0.0012657005833892922,0.71,,-48286,-9.2,7672,49416055609.2,571.0,Ljubljana,0.0,0.462191510365
76,Czech Republic,Austria,EXP,7283920048,,,,,,205522871251.355,0.035440921993989405,0.76,,7358,3.5,106,4.36343622435e+11,156.0,Vienna,1.0,0.257282
77,Czech Republic,Austria,EXP,7283920048,,,,,,205522871251.355,0.035440921993989405,0.76,,7358,3.5,106,4.36343622435e+11,156.0,Vienna,1.0,0.257282
78,Czech Republic,Belgium,EXP,4028247613,,,,,,205522871251.355,0.019599996771519617,0.76,,7358,3.5,106,5.33382785676e+11,447.0,Brussels,0.0,0.279464
79,Czech Republic,Belgium,EXP,4028247613,,,,,,205522871251.355,0.019599996771519617,0.76,,7358,3.5,106,5.33382785676e+11,447.0,Brussels,0.0,0.279464
80,Czech Republic,Denmark,EXP,1331571188,,,,,,205522871251.355,0.006478944070275687,0.76,,7358,3.5,106,3.4195160773e+11,395.0,Copenhagen,0.0,0.01312
81,Czech Republic,Denmark,EXP,1331571188,,,,,,205522871251.355,0.006478944070275687,0.76,,7358,3.5,106,3.4195160773e+11,395.0,Copenhagen,0.0,0.01312
